"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"BLK";"BlackRock";"Financials";525.38;0.74207497;613425;30.23;10
"BLL";"Ball Corp";"Materials";37.53;-0.89780873;5383314;1.12;0.365
"BMY";"Bristol-Myers Squibb";"Health Care";63.16;0.73365086;7502933;0.61;1.57
"BRK-B";"Berkshire Hathaway";"Financials";198.89;1.4641339;5128865;7.57;NA
"BSX";"Boston Scientific";"Health Care";26.18;1.0030873;8449844;0.076;NA
"BWA";"BorgWarner";"Consumer Discretionary";52.97;0.6842817;1709515;2.08;0.59
"BXP";"Boston Properties";"Real Estate";115.14;-0.18205382;829181;3.21;3
"C";"Citigroup Inc.";"Financials";74.76;1.4658005;16677666;-2.762;0.96
"CA";"CA, Inc.";"Information Technology";34.02;1.7040349;2865499;1.012;1.02
"CAG";"Conagra Brands";"Consumer Staples";35.7;0.39369905;5897999;1.668;0.825
"CAH";"Cardinal Health Inc.";"Health Care";68.03;1.9634256;3319424;5.735;1.836
"CAT";"Caterpillar Inc.";"Industrials";152.29;2.0641956;5756787;1.26;3.11
"CB";"Chubb Limited";"Financials";144.61;0.062272582;2205831;8.19;2.82
"CBG";"CBRE Group";"Real Estate";43.15;2.9832935;3063291;2.03;NA
"CBOE";"CBOE Holdings";"Financials";110.68;3.3330216;2567309;1.871;1.02
"CBS";"CBS Corp.";"Consumer Discretionary";53.16;0.758153;4591383;0.683;0.72
"CCI";"Crown Castle International Corp.";"Real Estate";105.11;1.2035432;3325278;1.01;3.9
"CCL";"Carnival Corp.";"Consumer Discretionary";68.77;2.5346608;3145990;3.59;1.6
"CDNS";"Cadence Design Systems";"Information Technology";38.6;2.4416087;2417924;0.73;NA
"CELG";"Celgene Corp.";"Health Care";91.51;-1.0809642;6663068;3.64;NA
"CERN";"Cerner";"Health Care";62.49;1.9246457;2686857;2.009;NA
"CF";"CF Industries Holdings Inc";"Materials";38.44;2.1796908;3115628;-1.841;1.2
"CFG";"Citizens Financial Group";"Financials";43.96;2.1138208;4380953;3.25;0.64
"CHD";"Church & Dwight";"Consumer Staples";48.63;0.14415093;2083859;2.9;0.76
"CHK";"Chesapeake Energy";"Energy";2.85;0;32884839;-33.878593;0
"CHRW";"C. H. Robinson Worldwide";"Industrials";91.18;2.0481274;1357120;3.57;1.81
"CHTR";"Charter Communications";"Consumer Discretionary";357.88;2.4182274;855081;34.088;NA
"CI";"CIGNA Corp.";"Health Care";193.56;-0.10837937;945445;8.77;0.04
